                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                1.14283,                1.27500,                1.20440,                0.48855,                0.46538,                0.51596,                0.28046,                1.15502,                1.30941,                1.20630,               0.000576,               0.000576,               0.000576
                     23,                1.12242,                1.23561,                1.18779,                0.50080,                0.47558,                0.49984,                0.33016,                1.07422,                1.28570,                1.27014,               0.000556,               0.000556,               0.000556
                     24,                1.13297,                1.25596,                1.19637,                0.52779,                0.50249,                0.49075,                0.34287,                1.09374,                1.24887,                1.20462,               0.000535,               0.000535,               0.000535
                     25,                1.10528,                1.20251,                1.17383,                0.54096,                0.51469,                0.49716,                0.29015,                1.18578,                1.18091,                1.20460,               0.000515,               0.000515,               0.000515
                     26,                1.12001,                1.23095,                1.18582,                0.54948,                0.46624,                0.49993,                0.33845,                1.14962,                1.23943,                1.17925,               0.000495,               0.000495,               0.000495
                     27,                1.08884,                1.17079,                1.16045,                0.55066,                0.52652,                0.46643,                0.35388,                1.12844,                1.15222,                1.18926,               0.000475,               0.000475,               0.000475
                     28,                1.07467,                1.14343,                1.14892,                0.50964,                0.51203,                0.52914,                0.34140,                1.11835,                1.16953,                1.17535,               0.000454,               0.000454,               0.000454
                     29,                1.07411,                1.14235,                1.14846,                0.53851,                0.52235,                0.48607,                0.33805,                1.12038,                1.19492,                1.17675,               0.000434,               0.000434,               0.000434
                     30,                1.06116,                1.11736,                1.13792,                0.48730,                0.51002,                0.51864,                0.35998,                1.08763,                1.20050,                1.15429,               0.000414,               0.000414,               0.000414
                     31,                1.03902,                1.07461,                1.11990,                0.55645,                0.50352,                0.53448,                0.38182,                1.09462,                1.17778,                1.15956,               0.000394,               0.000394,               0.000394
                     32,                1.04240,                1.08115,                1.12265,                0.56032,                0.48761,                0.50974,                0.37216,                1.00815,                1.00454,                1.15662,               0.000374,               0.000374,               0.000374
                     33,                1.05349,                1.10255,                1.13168,                0.54497,                0.51175,                0.56261,                0.34519,                1.11859,                1.08407,                1.15280,               0.000353,               0.000353,               0.000353
                     34,                1.05392,                1.10338,                1.13203,                0.54933,                0.50825,                0.54394,                0.37054,                1.07196,                1.15410,                1.17916,               0.000333,               0.000333,               0.000333
                     35,                1.03035,                1.05789,                1.11285,                0.55645,                0.53435,                0.57637,                0.37299,                1.09900,                1.12239,                1.17969,               0.000313,               0.000313,               0.000313
                     36,                1.05229,                1.10023,                1.13070,                0.57791,                0.53569,                0.58079,                0.35306,                1.10922,                1.14333,                1.09702,               0.000293,               0.000293,               0.000293
                     37,                1.03563,                1.06808,                1.11714,                0.54584,                0.55318,                0.54573,                0.35115,                1.03368,                1.14874,                1.17582,               0.000273,               0.000273,               0.000273
                     38,                1.07386,                1.14186,                1.14826,                0.57062,                0.55211,                0.57017,                0.39469,                1.04868,                1.17800,                1.23424,               0.000252,               0.000252,               0.000252
                     39,                1.00368,                1.00640,                1.09113,                0.57543,                0.55729,                0.53168,                0.36723,                1.01959,                1.05858,                1.10161,               0.000232,               0.000232,               0.000232
                     40,                1.02756,                1.05250,                1.11057,                0.58278,                0.52005,                0.54377,                0.38067,                1.11997,                1.09605,                1.18443,               0.000212,               0.000212,               0.000212
                     41,                1.02224,                1.04224,                1.10624,                0.57646,                0.56904,                0.57653,                0.37112,                1.13721,                1.05112,                1.14562,               0.000192,               0.000192,               0.000192
                     42,                1.03248,                1.06200,                1.11458,                0.61006,                0.56035,                0.58777,                0.38935,                1.16336,                1.09469,                1.12354,               0.000172,               0.000172,               0.000172
                     43,                1.00594,                1.01077,                1.09297,                0.58205,                0.55243,                0.57078,                0.36245,                1.07032,                1.13299,                1.12807,               0.000151,               0.000151,               0.000151
                     44,                1.05262,                1.10087,                1.13097,                0.56316,                0.56631,                0.55934,                0.38711,                1.13156,                1.15681,                1.12716,               0.000131,               0.000131,               0.000131
                     45,                0.99000,                0.98000,                1.08000,                0.57324,                0.54030,                0.58767,                0.37799,                1.13342,                1.02861,                1.10460,               0.000111,               0.000111,               0.000111
                     46,                1.03948,                1.07551,                1.12027,                0.56505,                0.56909,                0.55419,                0.38012,                1.11174,                1.14746,                1.13037,               0.000091,               0.000091,               0.000091
                     47,                1.02355,                1.04475,                1.10730,                0.58311,                0.60009,                0.59228,                0.40512,                1.05686,                1.11843,                1.04256,               0.000071,               0.000071,               0.000071
                     48,                1.00222,                1.00358,                1.08994,                0.56320,                0.57412,                0.58549,                0.37470,                1.05633,                1.03560,                1.08518,               0.000050,               0.000050,               0.000050
                     49,                1.02171,                1.04122,                1.10581,                0.55428,                0.56643,                0.60681,                0.34968,                1.04080,                1.09911,                1.12432,               0.000030,               0.000030,               0.000030
                     50,                0.99000,                0.98000,                1.08000,                0.61270,                0.59687,                0.59757,                0.39513,                1.02302,                0.97868,                1.11345,               0.000010,               0.000010,               0.000010
